"TOA5","54124","CR1000","54124","CR1000.Std.25","CPU:JER_Site4_program_20170406.cr1","14814","Table1","","","","","","","","","","",""
"TIMESTAMP","RECORD","Rain_mm_Tot","T107_2M_Avg","T107_5M_Avg","Albedo_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCo_Avg","CG3DnCo_Avg","Sensit_Tot","SenSec","WS_ms_4.8m_Max","WindDir_D1_WVT","WS_ms_4.8m_Avg","WS_ms_2.4m_Avg","WS_ms_1.4m_Avg","WS_ms_0.7m_Avg","WS_ms_2.4m_Std"
"TS","RN","mm","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Counts/Hz","","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second"
NA,"","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Max","WVc","Avg","Avg","Avg","Avg","Std"
"2017-04-25 12:00:00","27324","0","22.96","22.54","0.3229234","467.9","150.9","NaN","484.3","1","1","14.45","251.3","10.71","8.97","8.14","7.412","1.818"
"2017-04-25 12:01:00","27325","0","22.96","22.5","0.3224425","457.3","147.4","NaN","484.8","0","0","11.45","256.7","9.32","7.7","6.937","6.275","0.987"
"2017-04-25 12:02:00","27326","0","22.82","22.36","0.3253763","394.9","128.5","NaN","483.3","0","0","8.45","239.6","6.812","5.787","5.287","4.887","0.982"
"2017-04-25 12:03:00","27327","0","22.91","22.44","0.3257118","675.8","219.8","NaN","489.4","0","0","9.95","231.6","7.35","6.45","5.887","5.525","1.51"
"2017-04-25 12:04:00","27328","0","22.94","22.51","0.3247485","1096","356","NaN","510","0","0","10.7","229.7","8.19","7.15","6.387","5.887","0.917"
"2017-04-25 12:05:00","27329","0","23.49","22.96","0.3235758","1079","349.2","NaN","521.6","0","0","9.95","252.8","7.775","6.475","6.025","5.562","0.968"
"2017-04-25 12:06:00","27330","0","23.3","22.62","0.3215431","810","261.4","NaN","515.2","0","0","9.2","243.7","7.425","6.287","5.675","5.212","0.94"
"2017-04-25 12:07:00","27331","0","23.27","22.69","0.3215631","495.9","159.2","NaN","509.5","0","0","8.45","250.7","6.15","5.3","4.762","4.35","0.875"
"2017-04-25 12:08:00","27332","0","23.6","23.07","0.3227999","562","181.5","NaN","502.3","0","0","13.7","250.8","8.42","7.112","6.437","5.975","1.903"
"2017-04-25 12:09:00","27333","0","23.97","23.5","0.3216328","876","282.4","NaN","510.6","7","2","15.2","253.7","12.49","10.87","9.72","8.72","1.545"
"2017-04-25 12:10:00","27334","0","23.81","23.19","0.323795","532","171.9","NaN","501.1","0","0","14.45","271.5","11.27","9.67","8.87","7.762","1.416"
"2017-04-25 12:11:00","27335","0","23.55","23.09","0.3240512","381","123.4","NaN","493","0","0","10.7","261.9","7.987","6.85","6.225","5.525","1.446"
"2017-04-25 12:12:00","27336","0","23.6","23.08","0.3233832","413.1","133.5","NaN","491.7","0","0","11.45","267","8.29","7.137","6.537","5.787","1.434"
"2017-04-25 12:13:00","27337","0","23.45","23","0.3252711","368.5","119.9","NaN","488.7","0","0","10.7","272.5","7.737","6.65","6.112","5.625","1.495"
"2017-04-25 12:14:00","27338","0","23.57","23.18","0.3235982","504.3","163","NaN","488.3","0","0","16.7","277.2","10.25","8.77","8.06","7.062","2.132"
