"TOA5","71821","CR1000","71821","CR1000.Std.27.04","CPU:JER_Site5_program_20171030.cr1","4862","Table1","","","","","","","","","","",""
"TIMESTAMP","RECORD","Rain_mm_Tot","T107_2M_Avg","T107_5M_Avg","Albedo_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCo_Avg","CG3DnCo_Avg","Sensit_Tot","SenSec","WS_ms_4.8m_Max","WindDir_D1_WVT","WS_ms_4.8m_Avg","WS_ms_2.4m_Avg","WS_ms_1.4m_Avg","WS_ms_0.7m_Avg","WS_ms_2.4m_Std"
"TS","RN","mm","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Counts/Hz","","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second"
NA,"","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Max","WVc","Avg","Avg","Avg","Avg","Std"
"2018-03-15 11:00:00","195828","0","18.23","17.66","0.3032921","639.6","194","295.8","444.8","0","0","12.95","230.6","9.42","8.05","7.087","6.262","1.258"
"2018-03-15 11:01:00","195829","0","18.2","17.61","0.302783","640.4","193.9","296.9","446.4","0","0","11.45","235","8.74","7.475","6.775","6.125","1.464"
"2018-03-15 11:02:00","195830","0","18.43","17.87","0.3022918","642.5","194.2","298.1","448.3","0","0","11.45","220.7","7.85","6.75","6.1","5.425","1.429"
"2018-03-15 11:03:00","195831","0","18.58","17.98","0.3033914","646.1","196","296.4","448.6","0","0","10.7","233.1","8.12","6.975","6.212","5.525","1.262"
"2018-03-15 11:04:00","195832","0","18.33","17.7","0.3025406","646.3","195.5","297.1","449.2","0","0","9.95","232.3","8.22","7.1","5.637","5.762","1.168"
"2018-03-15 11:05:00","195833","0","18.46","17.86","0.3025002","647.1","195.8","298.6","449.9","0","0","11.45","212.2","8.94","7.637","6.55","5.737","0.901"
"2018-03-15 11:06:00","195834","0","18.69","18.11","0.3028314","649.1","196.6","299","450.5","0","0","9.95","218.8","7.712","6.412","5.75","5.2","1.321"
"2018-03-15 11:07:00","195835","0","18.98","18.38","0.3030072","656.3","198.9","301.9","452.9","0","0","10.7","207.2","6.8","5.712","5.1","4.587","1.402"
"2018-03-15 11:08:00","195836","0","19.1","18.52","0.3037087","661.8","201","301.2","452.6","0","0","11.45","212.7","8.69","7.6","6.587","5.95","1.174"
"2018-03-15 11:09:00","195837","0","18.57","17.97","0.3023144","662.4","200.2","300.5","451.1","0","0","12.95","222.3","10.2","8.6","7.85","7.05","1.415"
"2018-03-15 11:10:00","195838","0","18.68","18.07","0.3018859","662.9","200.1","300.3","451.7","0","0","12.2","223.2","9.22","7.787","7.175","6.45","1.475"
"2018-03-15 11:11:00","195839","0","18.76","18.21","0.3018475","664.6","200.6","301.2","453.9","0","0","9.95","206.4","7.55","6.637","5.987","5.2","1.323"
"2018-03-15 11:12:00","195840","0","18.96","18.41","0.3022965","665.4","201.2","301.7","454.7","0","0","11.45","201.7","8.81","7.25","6.312","5.562","1.47"
"2018-03-15 11:13:00","195841","0","19.08","18.59","0.302365","668.1","202","302.1","454.8","0","0","12.95","214.7","9.04","8.02","7.325","6.475","1.551"
"2018-03-15 11:14:00","195842","0","18.95","18.44","0.3023168","671.2","202.9","301.1","454.2","0","0","12.95","220.7","8.81","7.637","6.962","6.212","1.569"
