"TOA5","JER_Site3","CR1000","55060","CR1000.Std.25","CPU:JER_Site3_program_20170406.cr1","32691","Table1","","","","","","","","","","",""
"TIMESTAMP","RECORD","Rain_mm_Tot","T107_2M_Avg","T107_5M_Avg","Albedo_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCo_Avg","CG3DnCo_Avg","Sensit_Tot","SenSec","WS_ms_4.8m_Max","WindDir_D1_WVT","WS_ms_4.8m_Avg","WS_ms_2.4m_Avg","WS_ms_1.4m_Avg","WS_ms_0.7m_Avg","WS_ms_2.4m_Std"
"TS","RN","mm","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Counts/Hz","","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second"
NA,"","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Max","WVc","Avg","Avg","Avg","Avg","Std"
"2018-04-17 10:30:00","541392","0","22.28","21.77","0.3802218","747.3","284.1","296","478.2","0","0","8.45","215.3","6.987","6.312","5.75","5.587","1.032"
"2018-04-17 10:31:00","541393","0","22.18","21.62","0.3793831","754.3","286.2","296.1","479","0","0","8.45","207.7","6.15","5.65","5.1","4.85","1.169"
"2018-04-17 10:32:00","541394","0","22.05","21.49","0.3738101","598.7","224.2","293.9","476","0","0","7.7","213.8","5.687","5.275","4.95","4.687","0.703"
"2018-04-17 10:33:00","541395","0","21.78","21.26","0.3773004","744.5","280.9","296.7","477.9","0","0","5.45","197.6","4.4","4.187","3.925","3.788","0.556"
"2018-04-17 10:34:00","541396","0","21.99","21.54","0.3780052","764.8","289.1","297.8","481.2","0","0","6.2","206.8","4.5","4.263","4","3.85","0.911"
"2018-04-17 10:35:00","541397","0","22.09","21.64","0.3783338","770.5","291.5","298.3","482.9","0","0","6.95","196.2","4.937","4.687","4.362","4.187","1.056"
"2018-04-17 10:36:00","541398","0","22.29","21.76","0.3773154","767","289.4","299.7","485","0","0","6.2","188.7","4.163","3.7","3.537","3.45","0.965"
"2018-04-17 10:37:00","541399","0","22.94","22.5","0.3762335","728.9","274.3","301.3","486.3","0","0","6.2","209","4.475","4.237","3.875","3.7","0.811"
"2018-04-17 10:38:00","541400","0","23.48","23.09","0.3783994","789.2","298.7","302","489","0","0","5.45","197.8","3.925","3.75","3.55","3.463","0.748"
"2018-04-17 10:39:00","541401","0","23.15","22.71","0.3784185","805","304.7","299.9","488.7","0","0","6.95","201.3","4.725","4.675","4.362","4.175","0.67"
"2018-04-17 10:40:00","541402","0","22.78","22.36","0.3769588","814","306.9","301.5","491.3","0","0","5.45","200.4","3.987","3.725","3.475","3.388","0.632"
"2018-04-17 10:41:00","541403","0","22.8","22.33","0.3757458","770.3","289.5","301.6","493.2","0","0","6.2","220.7","3.75","3.475","3.325","3.25","0.774"
"2018-04-17 10:42:00","541404","0","22.77","22.37","0.3753336","775.6","291.2","300.8","491.5","0","0","6.95","235.2","4.662","4.312","4.075","4.038","0.992"
"2018-04-17 10:43:00","541405","0","22.73","22.33","0.3758075","801","301","301.8","495.1","0","0","4.7","244","3.55","3.263","3.075","3.025","0.601"
"2018-04-17 10:44:00","541406","0","22.55","22.19","0.3744332","780.2","292.1","300.2","495","0","0","4.7","204.9","3.2","2.963","2.838","2.763","0.768"
